published,updated,pdf_url,row_idx,embedded_text_col,embedding_model
2025-12-04,2025-12-04,https://arxiv.org/pdf/2512.05057v1,0,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-04,2025-12-04,https://arxiv.org/pdf/2512.04880v1,1,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-04,2025-12-04,https://arxiv.org/pdf/2512.04626v1,2,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-04,2025-12-04,https://arxiv.org/pdf/2512.04602v1,3,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-03,2025-12-03,https://arxiv.org/pdf/2512.04304v1,4,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-03,2025-12-03,https://arxiv.org/pdf/2512.04251v1,5,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-03,2025-12-03,https://arxiv.org/pdf/2512.03970v1,6,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-03,2025-12-03,https://arxiv.org/pdf/2512.03863v1,7,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-02,2025-12-02,https://arxiv.org/pdf/2512.03270v1,8,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-02,2025-12-02,https://arxiv.org/pdf/2512.03205v1,9,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-02,2025-12-02,https://arxiv.org/pdf/2512.03149v1,10,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-02,2025-12-02,https://arxiv.org/pdf/2512.03147v1,11,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-02,2025-12-02,https://arxiv.org/pdf/2512.02974v1,12,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-02,2025-12-02,https://arxiv.org/pdf/2512.02909v1,13,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-02,2025-12-02,https://arxiv.org/pdf/2512.02907v1,14,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-02,2025-12-02,https://arxiv.org/pdf/2512.02522v1,15,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-01,2025-12-01,https://arxiv.org/pdf/2512.02225v1,16,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-01,2025-12-01,https://arxiv.org/pdf/2512.01874v1,17,summary,sentence-transformers/all-MiniLM-L6-v2
2025-12-01,2025-12-01,https://arxiv.org/pdf/2512.01346v1,18,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-30,2025-11-30,https://arxiv.org/pdf/2512.00863v1,19,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-30,2025-11-30,https://arxiv.org/pdf/2512.00845v1,20,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-30,2025-11-30,https://arxiv.org/pdf/2512.00815v1,21,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-29,2025-11-29,https://arxiv.org/pdf/2512.00447v1,22,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-29,2025-11-29,https://arxiv.org/pdf/2512.00394v1,23,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-28,2025-11-28,https://arxiv.org/pdf/2512.00180v1,24,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-28,2025-12-03,https://arxiv.org/pdf/2511.22980v2,25,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-27,2025-11-27,https://arxiv.org/pdf/2511.22796v1,26,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-27,2025-11-27,https://arxiv.org/pdf/2511.22714v1,27,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-27,2025-11-27,https://arxiv.org/pdf/2511.22713v1,28,summary,sentence-transformers/all-MiniLM-L6-v2
2025-11-27,2025-11-27,https://arxiv.org/pdf/2511.22400v1,29,summary,sentence-transformers/all-MiniLM-L6-v2
